WKT,название,описание
"POINT (15.092832 47.384177)",1-1,
"POINT (15.0916518 47.38389)",1-2,
"POINT (15.0919469 47.3832907)",1-3,
"POINT (15.0931002 47.3835268)",1-4,
"POINT (15.093009 47.3842243)",2-1,
"POINT (15.0933094 47.3836032)",2-2,
"POINT (15.094849 47.3839337)",2-3,
"POINT (15.094554 47.384533)",2-4,
"POINT (15.0915725 47.3840457)",3-4,
"POINT (15.0927098 47.3842964)",3-1,
"POINT (15.0911917 47.3851681)",3-2,
"POINT (15.0920822 47.3854732)",3-3,
"POINT (15.0936146 47.3865105)",4-1,
"POINT (15.094548 47.386634)",4-2,
"POINT (15.0945748 47.3862418)",4-3,
"POINT (15.0936522 47.3861837)",4-4,
"POINT (15.0937343 47.3854037)",5-1,
"POINT (15.094539 47.3855581)",5-2,
"POINT (15.0945658 47.3861011)",5-3,
"POINT (15.0936994 47.3860212)",5-4,
"POINT (15.093419 47.3834503)",6-1,
"POINT (15.0949479 47.3838135)",6-2,
"POINT (15.0951893 47.3833413)",6-3,
"POINT (15.0936068 47.3830471)",6-4,
"POINT (15.0948611 47.386625)",7-1,
"POINT (15.0953493 47.386654)",7-2,
"POINT (15.0949703 47.3856112)",7-3,
"POINT (15.0947558 47.3856566)",7-4,
"POINT (15.0922504 47.3825818)",8-1,
"POINT (15.0925957 47.3818973)",8-2,
"POINT (15.0937437 47.3821534)",8-3,
"POINT (15.0933977 47.3828236)",8-4,
"POINT (15.0905999 47.3821734)",9-1,
"POINT (15.0920912 47.3825311)",9-2,
"POINT (15.0924131 47.3818628)",9-3,
"POINT (15.0913053 47.3815886)",9-4,
"POINT (15.0916806 47.3801842)",10-4,
"POINT (15.0922921 47.3798572)",10-2,
"POINT (15.0921259 47.3803912)",10-1,
"POINT (15.0924692 47.3799571)",10-3,
"POINT (15.0922488 47.3803871)",11-1,
"POINT (15.0925466 47.3800874)",11-2,
"POINT (15.093201 47.3802872)",11-3,
"POINT (15.0929231 47.3807827)",11-4,
"POINT (15.0936741 47.3828821)",12-1,
"POINT (15.0940282 47.3822138)",12-2,
"POINT (15.0951064 47.3825189)",12-3,
"POINT (15.0952084 47.3831727)",12-4,
"POINT (15.0945164 47.3876693)",13-1,
"POINT (15.0947953 47.3868267)",13-2,
"POINT (15.0951064 47.3869247)",13-3,
"POINT (15.0948329 47.3876693)",13-4,
"POINT (15.0925691 47.3869719)",14-1,
"POINT (15.0925101 47.3865833)",14-2,
"POINT (15.0945217 47.3868412)",14-3,
"POINT (15.0941516 47.3877855)",14-4,
"POINT (15.0927481 47.3814549)",15-1,
"POINT (15.0935045 47.3816547)",15-2,
"POINT (15.0937432 47.3812224)",15-3,
"POINT (15.0929761 47.3810463)",15-4,
"POINT (15.0933999 47.3819362)",16-1,
"POINT (15.0939068 47.3820597)",16-2,
"POINT (15.0942364 47.3813721)",16-3,
"POINT (15.0937939 47.3812559)",16-4,
"POINT (15.0930269 47.3809161)",17-1,
"POINT (15.0933273 47.3803258)",17-2,
"POINT (15.0944082 47.3806128)",17-3,
"POINT (15.0941293 47.3812085)",17-4,
